Origin,Origin_Code,Destination,Destination_Code,Date_accessed,Departure_Gap,Departure_Date,Departure_Day,Departure_time,Arrival_time,Duration,Changes,Price,Fare_Route_Description,Fare_Provider,TOC_Name,TOC_Provider,Ticket_type,nre_fare_category
Grantham,GRA,London Kings Cross,KGX,20190712_13-25,32,13/08/19,Tuesday,08:03,09:15,1:12,0,49.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
Grantham,GRA,London Kings Cross,KGX,20190712_13-25,32,13/08/19,Tuesday,08:18,09:31,1:13,0,51.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,3,15/07/19,Monday,07:01,09:12,2:11,0,81.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,3,15/07/19,Monday,07:37,09:27,1:50,0,81.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,3,15/07/19,Monday,07:37,09:27,1:50,0,81.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,9,21/07/19,Sunday,15:01,17:08,2:7,0,44.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,32,13/08/19,Tuesday,07:01,09:12,2:11,0,81.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,32,13/08/19,Tuesday,07:37,09:27,1:50,0,81.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Chesterfield,CHD,London St Pancras International,STP,20190712_13-25,32,13/08/19,Tuesday,07:37,09:27,1:50,0,81.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Leicester,LEI,London St Pancras International,STP,20190712_13-25,3,15/07/19,Monday,07:06,08:27,1:21,0,56.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Leicester,LEI,London St Pancras International,STP,20190712_13-25,3,15/07/19,Monday,07:55,09:12,1:17,0,71.0,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Leicester,LEI,London St Pancras International,STP,20190712_13-25,9,21/07/19,Sunday,14:26,15:59,1:33,0,34.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Leicester,LEI,London St Pancras International,STP,20190712_13-25,32,13/08/19,Tuesday,07:06,08:27,1:21,0,56.5,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
Leicester,LEI,London St Pancras International,STP,20190712_13-25,32,13/08/19,Tuesday,07:55,09:12,1:17,0,71.0,Only valid on booked East Midlands Trains services,East Midlands Trains,East Midlands Trains,East Midlands Trains,Advance (Standard Class),RESTRICTED
York,YRK,London Kings Cross,KGX,20190712_13-25,3,15/07/19,Monday,08:02,10:03,2:1,0,84.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
York,YRK,London Kings Cross,KGX,20190712_13-25,3,15/07/19,Monday,08:21,10:14,1:53,0,91.0,Valid only on Grand Central services.,Grand Central,Grand Central,Grand Central,Anytime Single,OPEN
York,YRK,London Kings Cross,KGX,20190712_13-25,9,21/07/19,Sunday,13:56,15:47,1:51,0,56.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
York,YRK,London Kings Cross,KGX,20190712_13-25,9,21/07/19,Sunday,15:52,17:43,1:51,0,54.0,Valid only on Grand Central services.,Grand Central,Grand Central,Grand Central,Off-Peak Single,FLEXIBLE
York,YRK,London Kings Cross,KGX,20190712_13-25,32,13/08/19,Tuesday,08:02,10:03,2:1,0,70.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
York,YRK,London Kings Cross,KGX,20190712_13-25,32,13/08/19,Tuesday,08:21,10:14,1:53,0,51.2,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
Leeds,LDS,London Kings Cross,KGX,20190712_13-25,3,15/07/19,Monday,07:00,08:59,1:59,0,132.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Leeds,LDS,London Kings Cross,KGX,20190712_13-25,3,15/07/19,Monday,07:40,10:00,2:20,0,132.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Leeds,LDS,London Kings Cross,KGX,20190712_13-25,9,21/07/19,Sunday,14:05,16:23,2:18,0,56.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
Leeds,LDS,London Kings Cross,KGX,20190712_13-25,32,13/08/19,Tuesday,07:00,08:59,1:59,0,132.5,Travel is allowed via any permitted route.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Anytime Single,OPEN
Leeds,LDS,London Kings Cross,KGX,20190712_13-25,32,13/08/19,Tuesday,07:40,10:00,2:20,0,99.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
